Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
3/1/2025,49,1861.218025489914,3059.5546353271284,28,28,,,,0.4396899603037122,1.4579636440564956,0.28284276473543696,4718,,,,,,2500873,,
3/2/2025,,1685.6249929666521,3.288815380920771,,,,,,,,,172,,,,,,,,
3/3/2025,18,1730.7885139224468,734.5686720231586,,,,,,0.3423656369041101,1.102812020830817,0.2514157908759439,1339,,,,,,643240,,
3/4/2025,15,1731.221732762091,528.8182964139637,2,2,,,,0.7834558418264158,1.3340102243799699,0.3142697239671028,823,,,,,,649408,,
3/5/2025,21,1758.7757296526554,938.8504325909072,1,1,,,,0.7190509348649045,1.1928892796764026,0.2514157908759439,1717,,,,,,1041846,,
3/6/2025,71,1862.787370995807,2670.734203821873,17,17,,,,0.3880696013915989,1.7084112690764068,0.2514157908759439,4230,,,,658632,,3195647,,
4/14/2025,,216.1175424633532,,,,,,,,,,,,,,,,,,
4/15/2025,,1685.6249929666517,,,,,,,,,,,,,,,,,,
4/16/2025,,1685.6249929666515,,,,,,,,,,40,,,,,,,,
4/17/2025,71,1927.5392277446201,4099.60720754641,37,37,,,,0.7875858624353224,1.5466264505227714,0.24347008517149965,6084,,,,,,3445448,,
4/18/2025,24,1785.9721289416013,1489.3045395475037,8,8,,,,0.525715756054596,1.3621485232803112,0.29331842268860125,2561,,,,,,1429189,,
4/19/2025,76,1943.4988964289043,3650.1218311433804,26,26,,,,0.41180333914882866,1.4343434627023635,0.2502151650602886,5786,,,,558142,,3077074,,
4/20/2025,67,1935.7888748911244,1010.7460748743581,47,47,,,,0.408783169162328,1.3875148678619524,0.28284276473543696,1613,,,,2681004,,701628,,
4/21/2025,,1685.624992966652,15.084947452556635,,,,,,0.2514157908759439,0.2514157908759439,0.2514157908759439,160,,,,,,,,
4/22/2025,37,1812.1443309540027,1874.6271232979093,15,15,,,,0.3996975021474496,1.3734924906018928,0.31426971848166796,2820,,,,,,1801945,,
4/23/2025,17,1750.9741625643283,769.1228376848122,3,3,,,,0.43536845123212453,1.3896598276756857,0.30773005837599815,1256,,,,,,792766,61475,
4/24/2025,21,1734.92060903943,772.4963443577727,4,4,,,,0.4087946408635058,1.3720877022371516,0.31336866228325666,1179,,,,,,702090,,
4/25/2025,37,1832.0602845934775,2042.087526363176,6,6,,,,0.3483698572075687,1.4626204606423732,0.2514157908759439,3169,,,,,,2085596,,
4/26/2025,,1685.624992966652,,,,,,,,,,38,,,,,,,,
4/27/2025,,1685.624992966652,30.220575812763904,,,,,,0.2823942321172046,0.28284276473543696,0.28194569949897225,266,,,,,,,,
4/28/2025,40,1829.2545381293621,2264.3110930857897,17,17,76.869918699187,160,44,0.6523500083408521,1.441011230002582,0.26189144882910825,3444,,,,,,2045636,,
4/29/2025,47,1819.807634924413,2675.1324433727136,22,22,75.93478260869566,108,46,0.5206411326526994,2.2305987672184826,0.26189144882910825,4150,,,,,,1911090,,
4/30/2025,24,1724.8605371527667,1168.2444322958445,2,2,76.77898550724638,154,44,0.4520169936120861,1.4352413102104116,0.2514157908759439,1818,,,,,,558810,,
5/1/2025,32,1789.4395841177497,1251.3274511836416,2,2,71.19189189189188,118,46,0.5745024341726639,1.5792675200640307,0.08070000330607097,2165,,,,,,1478573,,
5/2/2025,15,1714.98561608663,631.3119689294798,1,1,,,,0.3229278197034463,1.3863591721633066,0.24551409490564274,1117,,,,,,418167,,
5/3/2025,,1685.624992966652,,,,,,,,,,38,,,,,,,,
5/4/2025,,1685.6249929666517,77.31035569435275,,,,,,0.31049799094147945,0.31426973340441045,0.2514157908759439,247,,,,,,,,
5/5/2025,,1685.624992966652,,,,,,,,,,136,,,,,,,,
5/6/2025,22,1733.879846577286,916.3464675,,,,,,0.3774041600234797,1.4234631054441744,0.26189144882910825,1586,,,,,,687267,,
5/7/2025,43,1805.0997636842897,1229.7703985557187,16,16,,,,0.5008268512232861,1.4558650722815536,0.26189144882910825,1951,,,,831478,,814212,,
5/8/2025,35,1738.0394232079502,1476.2260229852795,3,3,,,,0.3498861304817584,1.4281438504942752,0.26189144882910825,2577,,,,,,746509,,
5/9/2025,40,1751.8211617164852,1435.865597381064,2,2,,,,0.4032680399488658,1.3876260503195175,0.2514157908759439,2360,,,,,,942796,,
5/10/2025,40,1825.7344563534646,1641.3587219630197,4,4,,,,0.36548647115452987,1.4153832270044324,0.2514157908759439,2856,,,,,,1995500,,
5/11/2025,,1698.7504165194396,16.970565884126216,,,,,,0.28284276473543696,0.28284276473543696,0.28284276473543696,155,,,,,,,83297,
5/12/2025,40,1842.2968566634931,2345.245460757219,20,20,,,,0.37308222501196014,1.594605231639097,0.26189144882910825,3596,,,,,,2231245,,
5/13/2025,38,1799.8655712411698,2184.1593549986565,17,17,,,,0.48888912070018925,1.4105731912065973,0.2723671067822726,3164,,,,,,1627065,,
5/14/2025,25,1756.7754296198696,1240.2371673561986,9,9,,,,0.34117120855357447,1.3579551691127125,0.2514157908759439,1924,,,,,,1013357,,
5/15/2025,15,1710.5291474746928,667.1570121858065,2,2,,,,0.3371966906996875,1.3985605797706884,0.29331842268860125,1245,,,,,,354696,,
5/16/2025,34,1794.5224268038726,1320.0173867504195,4,4,,,,0.4092646101075773,1.4103252313439856,0.2723671067822726,2165,,,,,,1550966,,
5/17/2025,,1685.624992966652,,,,,,,,,,64,,,,,,,,
5/18/2025,96,2090.4016296911855,6183.871789741953,59,59,,,,0.5456905024317643,1.3895964298452195,0.26189144882910825,9306,,,,,,5765008,,
5/19/2025,14,1728.3536344353342,724.526216605337,3,3,,,,0.3757137594443473,1.462886072771165,0.3142697229315044,1165,,,,,,608560,,
5/20/2025,29,1804.20787980467,771.7976488695551,14,14,,,,0.33670452837295695,1.290684035233981,0.26189144882910825,1278,,,,826764,,806541,,
5/21/2025,45,1844.541995510012,2380.1682693198445,15,15,,,,0.4692409825848574,1.4547819820451808,0.26189144882910825,3602,,,,,,2263366,,
5/22/2025,22,7162.213540982869,1586.0639859423225,3,3,74.6231884057971,146,49,0.6521188787527722,1.3115463715322375,0.24174638401298598,2139,,,,,,78000000,,
5/23/2025,,7751.999999999999,1756.870876736111,,,71.27536231884058,128,46,0.020334153665927213,0.020334153665927213,0.020334153665927213,2369,,,,,,86400000,,
5/24/2025,61,7733.899997711181,6149.710155945231,24,24,77.48188405797102,123,47,0.5032376173741748,1.4326493174658552,0.07675613649124845,8363,,,,,,85500000,,900000
5/25/2025,218,7118.268305582333,15977.294251395866,151,151,78.61159420289854,146,46,0.8067193815896848,1.367375300339266,0.020331046102795347,22755,,,,,1932,73078068,,5400000
5/26/2025,81,6570.598048688799,6243.851270548503,43,43,78.41485507246377,129,50,0.6930239925087108,1.9646331787109375,0.016989722357855903,8418,,,,,3583,67196417,,2100000
